code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
001006,中信建投凤凰货币A,0.00%,100元起购,0.15%,0.51%,1.07%,2.18%,9.49%,15.66%,货币型,0.93亿元（2019-12-31）,2015-03-31,中信建投基金
000818,诺安天天宝C,暂停申购,暂停申购,0.16%,0.54%,1.15%,2.37%,9.90%,18.50%,货币型,0.00亿元（2019-12-31）,2014-09-24,诺安基金
001041,南方理财60天债券E,暂停申购,暂停申购,0.31%,0.68%,1.36%,2.76%,11.09%,19.73%,理财型,0.00亿元（2019-12-31）,2015-03-09,南方基金
000784,博时季季享持有期B,0.00%,1000元起购,0.82%,2.15%,3.57%,--,--,4.07%,债券型,0.33亿元（2019-12-31）,2014-09-22,博时基金
001068,华融新锐灵活配置混合,0.12%,100元起购,3.04%,-5.58%,-2.96%,-0.71%,3.37%,-1.80%,混合型,0.85亿元（2019-12-31）,2015-04-15,华融证券
000817,中银安心回报,0.08%,100元起购,1.73%,3.35%,4.86%,7.96%,20.25%,32.80%,定开债券,34.91亿元（2019-12-31）,2014-10-24,中银基金
001040,新华策略精选股票,0.15%,100元起购,9.11%,2.56%,15.20%,22.45%,41.90%,40.20%,股票型,6.27亿元（2019-12-31）,2015-03-31,新华基金
000847,中融货币A,0.00%,100元起购,0.15%,0.53%,1.14%,2.38%,9.72%,19.44%,货币型,0.83亿元（2019-12-31）,2014-10-21,中融基金
001112,东方红中国优势混合,1.50%,100元起购,2.18%,-12.20%,-0.78%,0.45%,53.81%,77.80%,混合型,79.29亿元（2019-12-31）,2015-04-07,上海东方证券资产管理
001106,华商健康生活混合,0.15%,100元起购,3.03%,1.65%,13.35%,14.67%,20.86%,2.32%,混合型,8.63亿元（2019-12-31）,2015-03-17,华商基金
001105,信达澳银转型创新股票,0.15%,100元起购,0.91%,0.13%,9.73%,6.72%,18.78%,-22.20%,股票型,4.87亿元（2019-12-31）,2015-04-15,信达澳银基金
001104,华安新丝路主题股票,0.15%,100元起购,9.69%,1.68%,9.22%,28.78%,52.46%,51.70%,股票型,15.05亿元（2019-12-31）,2015-04-09,华安基金
001148,申万菱信多策略灵活配置混合A,0.07%,100元起购,3.44%,-4.49%,-0.97%,1.39%,14.06%,23.70%,混合型,0.02亿元（2019-12-31）,2015-03-31,申万菱信基金
001110,中欧瑾泉灵活配置混合A,暂停申购,暂停申购,1.93%,2.61%,5.48%,7.86%,22.78%,70.09%,混合型,0.02亿元（2019-12-31）,2015-03-16,中欧基金
001067,鹏华弘盛混合A,0.15%,100元起购,1.12%,2.40%,4.63%,6.80%,20.46%,35.23%,混合型,9.67亿元（2019-12-31）,2015-02-25,鹏华基金
001111,中欧瑾泉灵活配置混合C,暂停申购,暂停申购,1.93%,2.60%,5.48%,7.85%,22.39%,34.00%,混合型,6.33亿元（2019-12-31）,2015-03-16,中欧基金
001181,南方改革机遇,0.15%,100元起购,4.64%,-3.37%,7.61%,9.73%,10.07%,6.00%,混合型,8.48亿元（2019-12-31）,2015-05-19,南方基金
001180,广发医药卫生联接A,0.12%,10元起购,12.70%,10.49%,15.84%,16.98%,22.80%,-0.86%,联接基金,14.31亿元（2019-12-31）,2015-05-06,广发基金
001211,中欧滚钱宝货币A,暂停申购,暂停申购,0.18%,0.58%,1.21%,2.43%,10.15%,16.87%,货币型,942.66亿元（2019-12-31）,2015-06-12,中欧基金
001183,南方利淘A,0.12%,100元起购,1.33%,1.25%,3.35%,8.92%,19.24%,29.50%,混合型,5.22亿元（2019-12-31）,2015-04-17,南方基金
001214,华泰柏瑞中证500ETF联接A,0.10%,100元起购,2.10%,-2.47%,7.01%,-3.76%,-9.41%,-41.06%,联接基金,1.79亿元（2019-12-31）,2015-05-13,华泰柏瑞基金
001213,华润元大稳健债券C,0.00%,100元起购,1.23%,5.53%,5.74%,4.99%,8.68%,8.97%,债券型,0.02亿元（2019-12-31）,2015-10-16,华润元大基金
001182,易方达安心回馈混合,0.10%,100元起购,2.06%,0.16%,11.15%,21.46%,59.62%,83.40%,混合型,8.47亿元（2019-12-31）,2015-05-29,易方达基金
001212,华润元大稳健债券A,0.08%,100元起购,1.22%,5.58%,5.89%,5.44%,9.77%,10.78%,债券型,0.02亿元（2019-12-31）,2015-10-16,华润元大基金
001273,民生加银新动力混合A,0.05%,100元起购,1.45%,-8.56%,-0.77%,-10.01%,-15.85%,-9.20%,混合型,0.89亿元（2019-12-31）,2015-05-18,民生加银基金
001272,兴业聚利灵活配置混合,0.15%,100元起购,4.49%,0.73%,12.68%,13.45%,9.40%,65.30%,混合型,1.97亿元（2019-12-31）,2015-05-07,兴业基金
001271,英大灵活配置混合型发起式B,0.00%,100元起购,-0.13%,-1.03%,5.63%,14.75%,29.53%,38.23%,混合型,0.38亿元（2020-03-31）,2015-05-07,英大基金
001270,英大灵活配置混合型发起式A,0.10%,100元起购,-0.09%,-0.92%,5.88%,15.56%,32.87%,42.99%,混合型,0.51亿元（2020-03-31）,2015-05-07,英大基金
001243,博时中证淘金大数据100I,暂停申购,暂停申购,2.16%,-5.35%,4.25%,0.14%,5.12%,-5.96%,股票指数,1.77亿元（2019-12-31）,2015-05-04,博时基金
001275,中邮创新优势灵活配置混合,0.15%,100元起购,0.48%,-3.53%,2.05%,3.05%,-12.42%,-15.40%,混合型,3.35亿元（2019-12-31）,2015-07-23,中邮基金
001276,建信新经济灵活配置混合,0.15%,100元起购,0.68%,0.11%,12.37%,4.95%,9.07%,-11.00%,混合型,3.89亿元（2019-12-31）,2015-05-26,建信基金
001274,民生加银新动力混合D,暂停申购,暂停申购,0.00%,0.00%,0.00%,0.00%,--,0.00%,混合型,0.00亿元（2019-06-30）,2015-05-18,民生加银基金
001339,兴银鼎新灵活配置混合,0.05%,100元起购,1.33%,-2.19%,15.30%,24.56%,2.69%,12.81%,混合型,0.14亿元（2019-12-31）,2015-05-25,兴银基金
001338,安信稳健增值混合C,0.00%,100元起购,1.20%,1.17%,4.05%,6.83%,24.88%,42.62%,混合型,8.54亿元（2019-12-31）,2015-05-25,安信基金
001337,鹏华弘益混合C,0.15%,100元起购,2.09%,1.66%,5.54%,12.69%,21.81%,27.27%,混合型,7.42亿元（2019-12-31）,2015-05-29,鹏华基金
001336,鹏华弘益混合A,0.15%,100元起购,2.09%,1.68%,5.58%,12.78%,22.18%,29.34%,混合型,0.08亿元（2019-12-31）,2015-05-29,鹏华基金
001365,大成正向回报灵活配置混合,0.15%,100元起购,5.84%,4.29%,16.67%,29.59%,33.91%,-7.60%,混合型,1.41亿元（2019-12-31）,2015-07-08,大成基金
001364,大成景润灵活配置混合,0.15%,100元起购,0.83%,2.17%,12.80%,3.68%,-16.15%,-15.40%,混合型,1.43亿元（2019-12-31）,2017-01-25,大成基金
001363,长城久惠灵活配置混合,0.15%,100元起购,2.68%,0.14%,3.32%,4.96%,12.06%,12.62%,混合型,3.16亿元（2019-12-31）,2015-07-27,长城基金
001362,景顺长城领先回报混合A,0.10%,100元起购,2.62%,2.70%,5.89%,5.80%,25.53%,40.22%,混合型,2.99亿元（2019-12-31）,2015-05-25,景顺长城基金
001428,工银瑞信灵活配置混合B,暂停申购,暂停申购,-0.09%,-0.62%,2.55%,3.39%,--,3.77%,混合型,4.45亿元（2016-12-31）,2015-06-04,工银瑞信基金
001427,招商丰泽混合A,0.15%,100元起购,-0.08%,0.24%,2.43%,4.19%,14.97%,26.70%,混合型,12.09亿元（2019-12-31）,2015-06-11,招商基金
001426,南方大数据300C,0.00%,100元起购,4.60%,-6.79%,-0.33%,-3.32%,2.26%,5.92%,股票指数,0.58亿元（2019-12-31）,2015-06-24,南方基金
001425,博时新起点混合C,0.10%,100元起购,0.04%,-9.73%,0.89%,-2.16%,51.07%,58.41%,混合型,0.33亿元（2019-12-31）,2015-06-24,博时基金
001424,博时新起点混合A,0.10%,100元起购,0.04%,-9.72%,0.93%,-2.06%,49.50%,58.53%,混合型,3.36亿元（2019-12-31）,2015-06-24,博时基金
001423,景顺长城安享回报混合C,0.00%,100元起购,2.44%,3.31%,6.57%,11.25%,24.38%,32.22%,混合型,0.80亿元（2019-12-31）,2015-06-15,景顺长城基金
001422,景顺长城安享回报混合A,0.10%,100元起购,2.50%,3.36%,6.77%,11.60%,24.58%,33.80%,混合型,3.22亿元（2019-12-31）,2015-06-15,景顺长城基金
001421,南方量化成长,0.15%,100元起购,1.54%,-3.29%,8.19%,-3.03%,-16.31%,5.70%,股票型,4.45亿元（2019-12-31）,2015-06-29,南方基金
001513,易方达信息产业混合,0.15%,100元起购,2.70%,0.58%,25.21%,45.97%,88.88%,90.20%,混合型,21.12亿元（2019-12-31）,2016-09-27,易方达基金
001512,易方达中债3-5年期国债指数,暂停申购,暂停申购,2.26%,3.91%,4.99%,7.29%,14.11%,22.10%,债券指数,1.22亿元（2019-12-31）,2015-07-08,易方达基金
001511,兴全新视野定开混合,0.15%,100元起购,6.00%,5.20%,11.37%,16.43%,46.49%,61.57%,混合型,95.19亿元（2019-12-31）,2015-07-01,兴证全球基金
001510,富国新动力灵活配置混合C,0.00%,100元起购,7.62%,10.47%,26.18%,56.93%,128.83%,162.70%,混合型,4.92亿元（2019-12-31）,2015-08-04,富国基金
001508,富国新动力灵活配置混合A,0.15%,100元起购,7.66%,10.60%,26.46%,57.73%,131.54%,167.20%,混合型,10.62亿元（2019-12-31）,2015-08-04,富国基金
001507,景顺长城泰和回报混合C,暂停申购,暂停申购,1.23%,-1.36%,1.15%,2.41%,15.93%,21.54%,混合型,0.05亿元（2019-12-31）,2015-11-19,景顺长城基金
001506,景顺长城泰和回报混合A,暂停申购,暂停申购,1.14%,-1.43%,1.14%,2.47%,17.01%,24.50%,混合型,0.57亿元（2019-12-31）,2015-08-20,景顺长城基金
001505,南方利众C,暂停申购,暂停申购,0.76%,-0.98%,4.60%,9.09%,21.41%,37.51%,混合型,0.29亿元（2019-12-31）,2015-06-18,南方基金
001576,国泰智能装备股票,0.15%,100元起购,2.88%,-4.00%,22.11%,17.44%,--,32.00%,股票型,4.87亿元（2019-12-31）,2017-06-21,国泰基金
001575,兴银稳健债券,0.01%,100元起购,2.10%,3.64%,4.63%,6.65%,16.11%,15.30%,债券型,7.05亿元（2019-12-31）,2015-12-14,兴银基金
001574,中海混改红利混合,0.15%,100元起购,1.46%,-5.57%,6.36%,23.44%,59.85%,32.20%,混合型,0.28亿元（2019-12-31）,2015-11-11,中海基金
001573,南方互联网+灵活配置混合,0.15%,100元起购,3.23%,6.75%,32.80%,49.06%,--,52.19%,混合型,0.77亿元（2019-12-31）,2017-11-27,南方基金
001572,嘉合磐石C,0.00%,100元起购,2.44%,3.65%,4.71%,7.39%,22.66%,34.06%,混合型,6.36亿元（2019-12-31）,2015-07-03,嘉合基金
001571,嘉合磐石A,0.12%,100元起购,2.48%,3.75%,5.04%,8.11%,22.59%,36.82%,混合型,1.16亿元（2019-12-31）,2015-07-03,嘉合基金
001570,南方利安A,0.15%,100元起购,0.43%,0.51%,3.42%,7.67%,12.39%,17.90%,混合型,4.49亿元（2019-12-31）,2015-11-19,南方基金
001569,泰信国策驱动灵活配置混合,0.15%,1000元起购,0.90%,-1.32%,27.05%,31.72%,12.27%,-10.30%,混合型,1.18亿元（2019-12-31）,2015-10-27,泰信基金
001636,万家瑞益灵活配置混合C,0.00%,100元起购,0.72%,-1.02%,1.23%,4.23%,22.00%,37.29%,混合型,3.98亿元（2019-12-31）,2015-12-07,万家基金
001643,汇丰晋信智造先锋股票A,0.15%,100元起购,-0.10%,-11.26%,29.27%,31.02%,29.47%,35.62%,股票型,1.37亿元（2019-12-31）,2015-09-30,汇丰晋信基金
001637,嘉实腾讯自选股大数据策略股票,0.15%,100元起购,3.40%,0.33%,10.43%,8.56%,12.78%,21.80%,股票型,2.85亿元（2019-12-31）,2015-12-07,嘉实基金
001648,工银新价值灵活配置混合,0.15%,100元起购,1.92%,-1.34%,4.70%,3.13%,--,-4.30%,混合型,1.37亿元（2019-12-31）,2017-04-27,工银瑞信基金
001638,前海开源优势蓝筹股票C,0.15%,100元起购,3.29%,-1.67%,7.70%,27.78%,41.77%,41.20%,股票型,0.24亿元（2019-12-31）,2015-07-06,前海开源基金
001641,富国绝对收益多策略混合A,0.15%,100元起购,2.34%,6.66%,5.41%,14.36%,23.63%,26.60%,混合型,2.73亿元（2019-12-31）,2015-09-17,富国基金
001645,国泰大健康股票,0.15%,100元起购,9.94%,9.28%,27.45%,55.31%,80.43%,154.40%,股票型,5.68亿元（2019-12-31）,2016-02-03,国泰基金
001644,汇丰晋信智造先锋股票C,0.00%,100元起购,-0.14%,-11.37%,28.96%,30.46%,27.77%,32.70%,股票型,0.74亿元（2019-12-31）,2015-09-30,汇丰晋信基金
001717,工银前沿医疗股票,0.15%,100元起购,12.72%,23.17%,36.04%,73.72%,117.00%,157.80%,股票型,11.40亿元（2019-12-31）,2016-02-03,工银瑞信基金
001715,工银新焦点混合A,0.15%,100元起购,8.63%,5.89%,16.48%,31.65%,37.95%,38.50%,混合型,0.54亿元（2019-12-31）,2016-10-10,工银瑞信基金
001716,工银新趋势灵活配置混合A,暂停申购,暂停申购,8.74%,10.17%,27.24%,26.43%,47.91%,59.30%,混合型,0.07亿元（2019-12-31）,2015-12-15,工银瑞信基金
001811,中欧明睿新常态混合A,0.15%,10元起购,3.06%,-3.95%,10.37%,20.45%,72.74%,81.90%,混合型,49.16亿元（2019-12-31）,2016-03-03,中欧基金
001712,东方红优势精选混合,1.50%,100元起购,1.13%,-9.87%,9.18%,10.45%,46.47%,61.70%,混合型,16.36亿元（2019-12-31）,2015-09-08,上海东方证券资产管理
001714,工银文体产业股票,0.15%,100元起购,5.41%,-1.07%,16.23%,25.03%,80.47%,120.17%,股票型,29.65亿元（2019-12-31）,2015-12-30,工银瑞信基金
001718,工银物流产业股票,0.15%,100元起购,-0.06%,-4.80%,13.69%,13.69%,45.25%,72.70%,股票型,0.56亿元（2019-12-31）,2016-03-01,工银瑞信基金
001719,工银国家战略股票,0.15%,100元起购,4.19%,-1.65%,18.24%,27.14%,39.31%,36.80%,股票型,1.20亿元（2019-12-31）,2016-01-29,工银瑞信基金
001711,安信新趋势混合C,0.00%,100元起购,1.34%,1.24%,4.24%,7.92%,21.94%,23.77%,混合型,5.30亿元（2019-12-31）,2016-12-09,安信基金
001810,中欧潜力价值灵活配置混合A,0.15%,100元起购,0.56%,-8.16%,3.19%,-6.94%,15.21%,45.97%,混合型,23.77亿元（2019-12-31）,2015-09-30,中欧基金
001809,中信建投智信物联网A,0.15%,100元起购,0.75%,3.46%,37.37%,48.19%,52.68%,52.37%,混合型,1.06亿元（2019-12-31）,2016-08-03,中信建投基金
001808,银华互联网主题灵活配置混合,0.15%,100元起购,1.23%,5.03%,22.76%,29.39%,46.00%,14.90%,混合型,0.71亿元（2019-12-31）,2015-11-18,银华基金
001807,易方达瑞智灵活配置混合E,暂停申购,暂停申购,1.46%,2.30%,5.51%,9.04%,--,11.00%,混合型,0.82亿元（2019-12-31）,2017-06-21,易方达基金
001803,易方达瑞财混合E,暂停申购,暂停申购,1.03%,1.73%,4.07%,7.49%,23.68%,28.38%,混合型,0.01亿元（2019-12-31）,2016-02-04,易方达基金
001802,易方达瑞财混合I,暂停申购,暂停申购,1.02%,1.80%,4.12%,7.62%,24.33%,29.43%,混合型,12.56亿元（2019-12-31）,2016-02-04,易方达基金
002004,工银新机遇灵活配置混合C,0.00%,100元起购,2.88%,-0.70%,10.50%,11.11%,0.00%,0.00%,混合型,1.24亿元（2019-12-31）,2017-04-14,工银瑞信基金
002003,工银新机遇灵活配置混合A,0.15%,100元起购,3.03%,-0.49%,10.76%,11.73%,1.90%,1.90%,混合型,0.26亿元（2019-12-31）,2017-04-14,工银瑞信基金
001970,泰信鑫选灵活配置混合A,0.15%,1000元起购,-1.63%,-4.07%,11.07%,9.94%,7.86%,8.40%,混合型,0.34亿元（2019-12-31）,2016-02-04,泰信基金
001806,易方达瑞智灵活配置混合I,暂停申购,暂停申购,1.44%,2.27%,5.53%,9.32%,--,12.60%,混合型,3.92亿元（2019-12-31）,2017-06-21,易方达基金
002046,信诚新锐混合B,0.00%,100元起购,1.43%,-0.26%,3.27%,5.47%,9.12%,13.70%,混合型,1.57亿元（2019-12-31）,2015-11-25,中信保诚基金
002043,天治研究驱动混合C,0.10%,100元起购,6.38%,0.14%,8.86%,16.17%,33.94%,28.77%,混合型,0.24亿元（2019-12-31）,2015-11-12,天治基金
002036,安信优势增长混合C,0.00%,100元起购,4.40%,-1.66%,15.53%,15.94%,75.48%,83.97%,混合型,0.86亿元（2019-12-31）,2015-11-17,安信基金
002031,华夏策略混合,0.15%,100元起购,4.70%,0.24%,9.77%,14.56%,29.08%,465.00%,混合型,7.92亿元（2019-12-31）,2008-10-23,华夏基金
002030,信诚新选混合B,0.00%,100元起购,1.52%,0.85%,3.98%,5.21%,1.52%,7.10%,混合型,0.01亿元（2019-12-31）,2015-11-16,中信保诚基金
002077,浙商日添利A,0.00%,100元起购,0.11%,0.40%,0.91%,1.75%,8.53%,12.62%,货币型,0.29亿元（2019-12-31）,2015-12-08,浙商基金
002035,安信平稳增长混合发起C,0.15%,100元起购,2.18%,0.31%,1.64%,1.65%,16.05%,28.93%,混合型,0.02亿元（2019-12-31）,2015-11-18,安信基金
002125,广发新兴成长混合,0.15%,100元起购,6.87%,2.29%,9.61%,28.21%,--,2.70%,混合型,2.34亿元（2019-12-31）,2017-09-15,广发基金
002123,北信瑞丰外延增长,0.15%,100元起购,5.07%,-2.78%,3.23%,6.47%,3.90%,11.90%,混合型,0.54亿元（2019-12-31）,2016-05-17,北信瑞丰
002076,浙商中证500指数增强A,0.15%,100元起购,2.53%,-2.23%,8.92%,2.30%,-3.79%,2.21%,股票指数,1.80亿元（2019-12-31）,2016-05-11,浙商基金
002121,广发沪港深新起点股票,0.15%,10元起购,10.58%,-8.79%,3.60%,5.91%,33.68%,47.71%,股票型,50.02亿元（2019-12-31）,2016-11-02,广发基金
002162,东方新价值混合C,暂停申购,暂停申购,2.35%,1.76%,4.73%,10.18%,10.91%,7.26%,混合型,1.97亿元（2019-12-31）,2015-11-23,东方基金
002161,银华万物互联灵活配置混合,0.15%,100元起购,2.33%,2.82%,6.34%,-5.12%,--,5.60%,混合型,3.62亿元（2019-12-31）,2017-05-02,银华基金
002160,南方驱动混合,0.15%,100元起购,6.95%,4.66%,20.53%,44.28%,64.70%,95.50%,混合型,2.66亿元（2019-12-31）,2016-03-23,南方基金
002124,广发新兴产业混合,0.15%,100元起购,8.90%,12.34%,33.02%,45.23%,70.57%,99.40%,混合型,1.77亿元（2019-12-31）,2016-01-29,广发基金
002192,东方鼎新灵活配置混合C,0.00%,100元起购,2.05%,1.38%,4.28%,13.77%,28.37%,31.38%,混合型,3.43亿元（2019-12-31）,2016-04-20,东方基金
002159,东吴国企改革,0.15%,1000元起购,2.04%,-6.98%,-2.92%,-11.71%,-24.76%,-20.10%,混合型,0.17亿元（2019-12-31）,2015-12-30,东吴基金
002194,北信瑞丰稳定增强,0.08%,100元起购,2.60%,3.91%,6.19%,7.26%,3.60%,6.40%,混合型,2.36亿元（2019-12-31）,2016-04-13,北信瑞丰
002227,长城新优选混合A,0.15%,100元起购,0.67%,1.26%,3.04%,9.35%,25.19%,32.70%,混合型,10.03亿元（2019-12-31）,2016-03-22,长城基金
002191,农银物联网混合,0.15%,100元起购,1.93%,0.86%,20.13%,27.95%,42.25%,43.80%,混合型,0.41亿元（2019-12-31）,2016-05-04,农银汇理基金
002230,华夏大中华混合(QDII),0.15%,100元起购,16.22%,-0.30%,11.05%,11.32%,-3.99%,34.70%,QDII,1.22亿元（2019-12-31）,2016-01-20,华夏基金
002228,长城新优选混合C,0.00%,100元起购,0.63%,1.14%,2.74%,8.74%,23.41%,33.78%,混合型,7.79亿元（2019-12-31）,2016-03-22,长城基金
002263,泰达宏利大数据混合A,0.15%,100元起购,6.95%,-1.38%,7.97%,3.20%,12.03%,33.96%,混合型,0.75亿元（2019-12-31）,2016-02-23,泰达宏利基金
002262,中银宝利混合C,0.00%,100元起购,2.01%,2.20%,7.43%,14.66%,32.78%,38.52%,混合型,0.09亿元（2019-12-31）,2016-02-04,中银基金
002229,华夏经济转型股票,0.15%,100元起购,4.74%,1.23%,21.63%,19.68%,58.86%,79.83%,股票型,11.55亿元（2019-12-31）,2016-03-15,华夏基金
002296,长城行业轮动混合,0.15%,100元起购,4.70%,-0.69%,2.87%,6.54%,17.83%,21.13%,混合型,2.21亿元（2019-12-31）,2016-01-12,长城基金
002264,华夏乐享健康混合,0.15%,100元起购,7.90%,22.01%,40.46%,65.50%,77.83%,88.50%,混合型,2.82亿元（2019-12-31）,2016-08-03,华夏基金
002292,诺安益鑫灵活配置混合,0.15%,100元起购,5.49%,-5.16%,-4.84%,-5.98%,3.43%,4.67%,混合型,0.79亿元（2019-12-31）,2016-01-22,诺安基金
002332,汇丰晋信沪港深A,0.15%,100元起购,9.19%,-8.26%,6.46%,9.06%,21.36%,32.93%,股票型,10.14亿元（2019-12-31）,2016-11-10,汇丰晋信基金
002293,南方益和混合,0.15%,100元起购,6.17%,-1.70%,10.46%,31.41%,36.81%,42.42%,混合型,1.60亿元（2019-12-31）,2016-01-11,南方基金
002295,广发稳安灵活配置A,0.10%,100元起购,13.37%,5.12%,9.47%,14.78%,22.64%,25.34%,混合型,3.45亿元（2019-12-31）,2016-02-04,广发基金
002298,招商招福宝货币A,0.00%,100元起购,0.22%,0.69%,1.28%,2.19%,--,7.58%,货币型,0.00亿元（2019-12-31）,2017-06-13,招商基金
002330,兴业聚宝灵活配置混合,0.00%,100元起购,3.57%,-0.37%,11.72%,11.44%,29.86%,33.50%,混合型,1.01亿元（2019-12-31）,2016-02-03,兴业基金
002331,泰康安泰回报混合,0.12%,100元起购,1.76%,0.71%,4.05%,5.16%,12.97%,15.11%,混合型,3.96亿元（2019-12-31）,2016-03-23,泰康资产
002367,国联安安稳混合,0.10%,100元起购,10.77%,2.74%,15.39%,9.79%,15.24%,15.24%,混合型,0.98亿元（2019-12-31）,2016-03-11,国联安基金
002365,国联安鑫禧灵活配置混合A,0.07%,100元起购,0.54%,0.41%,0.68%,3.39%,--,6.46%,混合型,0.00亿元（2018-12-31）,2016-02-03,国联安基金
002406,光大保德信中高等级债券C,0.00%,100元起购,2.26%,4.44%,10.11%,15.90%,--,16.05%,债券型,0.16亿元（2019-12-31）,2017-08-04,光大保德信基金
002405,光大保德信中高等级债券A,0.08%,100元起购,2.29%,4.53%,10.32%,16.34%,--,17.28%,债券型,5.05亿元（2019-12-31）,2017-08-04,光大保德信基金
002376,国寿安保核心产业混合,0.15%,100元起购,2.41%,-9.23%,-5.68%,0.38%,7.60%,15.67%,混合型,10.43亿元（2019-12-31）,2016-02-03,国寿安保基金
002404,博时裕乾纯债C,0.00%,100元起购,1.71%,3.03%,4.29%,6.30%,14.25%,17.10%,债券型,0.51亿元（2019-12-31）,2016-02-01,博时基金
002440,中加瑞盈债券,0.08%,100元起购,0.67%,0.83%,2.46%,4.05%,14.23%,16.02%,债券型,0.26亿元（2019-12-31）,2016-03-23,中加基金
002366,国联安鑫禧灵活配置混合C,0.00%,100元起购,0.49%,0.26%,-0.29%,1.66%,--,3.75%,混合型,0.08亿元（2018-12-31）,2016-02-03,国联安基金
002475,中邮睿利增强债券,0.08%,100元起购,0.10%,0.00%,-0.10%,-0.21%,--,-3.70%,债券型,0.07亿元（2019-12-31）,2017-08-17,中邮基金
002474,中邮睿信增强债,0.08%,100元起购,2.55%,4.61%,8.15%,11.63%,25.55%,24.80%,债券型,4.41亿元（2019-12-31）,2016-08-25,中邮基金
002469,华泰柏瑞交易货币B,0.00%,5000000元起购,0.18%,0.56%,1.20%,2.39%,9.11%,11.18%,货币型,11.22亿元（2019-12-31）,2016-02-26,华泰柏瑞基金
002514,招商丰益混合A,暂停申购,暂停申购,3.59%,1.42%,5.71%,9.64%,19.79%,32.01%,混合型,0.06亿元（2019-12-31）,2016-08-24,招商基金
002513,金鹰元安混合C,0.00%,100元起购,1.13%,-1.63%,1.54%,0.34%,21.13%,20.37%,混合型,0.13亿元（2019-12-31）,2016-03-10,金鹰基金
